,NStage,RR,TopPres,StoF,y_predicted,DIST_C4H8,error,y_real,af_value,Mode,model_purity
0,58.0,4.6324950904813225,4.5955477589522005,4.558248655725252,31422.65958292163,0.996755582,315.7764170783703,31738.436,1.0,MPI,0.9977013968939211
1,61.0,6.402264728322723,3.598641259451317,3.5439021350777917,23677.508545386154,0.996229971,523.6172546138478,24201.1258,1.0,MPI,0.9964601450785671
2,79.0,6.938185541627667,3.506157311225638,1.8780742818860219,15797.937754589875,0.984221969,138.3647545898748,15659.573,1.0,MPI,0.9953459665212889
3,64.0,6.0846944600048385,3.634810974214895,3.294076414980248,22183.557043413326,0.995954392,752.0816434133267,21431.4754,1.0,MPI,0.995660473367017
4,69.0,5.8062420836378905,3.5316687460690357,3.045460517945706,19844.52190690529,0.99644734,495.4589069052927,19349.063,1.0,MPI,0.9953387298364674
5,70.0,9.104697477827372,3.6273926253203244,1.5771453942989835,13692.597867623666,0.963680624,3869.134932376335,17561.7328,1.0,MPI,0.9958881606188477
6,69.0,4.83895404314995,3.5645581535382593,3.0366579760860093,17905.42024488058,0.995525519,130.10265511941907,18035.5229,1.0,MPI,0.9952877092038999
7,69.0,5.000991029356339,3.514992060309829,2.8899667028230396,17032.30478512301,0.994637979,312.21501487698697,17344.5198,1.0,MPI,0.9950098803912106
8,69.0,5.079954977933412,3.502254045515814,2.9112689669372522,17382.951077363425,0.994960269,159.21752263657618,17542.1686,0.9999999999989988,MPI,0.9950012960289458
9,69.0,4.848761768762666,3.500005670887654,2.9570613116088014,17416.933123249088,0.994979103,45.04657675091221,17461.9797,17332.656763356852,UCB,0.9950000367195556
10,69.0,4.878877364253201,3.500000881058823,2.952207924519272,17436.380099536877,0.994989804,41.942800463122694,17478.3229,17364.057146100506,UCB,0.9950000029177322
11,69.0,4.889646917320896,3.5000032643614074,2.950448385606251,17447.979257745184,0.994992618,35.50484225481705,17483.4841,17383.502942676347,UCB,0.9950000165164083
12,69.0,4.896009665797108,3.500001067366956,2.9494016137021064,17456.011600446727,0.994994118,30.442599553272885,17486.4542,17397.389509454537,UCB,0.9950000036704656
13,69.0,4.9001871941297885,3.5000041793706202,2.9487226154886654,17462.02520923579,0.994995368,26.360490764207498,17488.3857,17408.01941388216,UCB,0.9950000179317559
14,69.0,4.903311359860038,3.5000047052248124,2.948206349699211,17466.63249592454,0.994996625,23.538004075460776,17490.1705,17416.40382990411,UCB,0.9950000196083056
15,69.0,4.905241831152104,3.500000118184369,2.9478900787015108,17470.2725941467,0.994997132,20.87860585330054,17491.1512,17423.206720235336,UCB,0.9950000018460242
16,69.0,4.907154733554324,3.500005732233065,2.947567888536753,17473.294868264937,0.994997518,18.709931735062128,17492.0048,17428.94710306687,UCB,0.9950000129196467
17,69.0,4.908668532329015,3.500001450349366,2.9473104313648406,17475.775544935714,0.994997849,16.95465506428809,17492.7302,17433.79003379216,UCB,0.9950000044204432
18,69.0,4.909843568881821,3.5000049062637504,2.94711762089273,17477.930755802838,0.99499819,15.42444419716412,17493.3552,17438.02656977742,UCB,0.9950000290713092
19,69.0,4.9110210157129135,3.5000008597135093,2.9469109582709265,17479.714565957984,0.994998403,14.168034042017098,17493.8826,17441.664376399127,UCB,0.9950000065440677
20,69.0,4.9120082622215655,3.5000009882146417,2.946740803035728,17481.291365485846,0.994998587,13.061934514153108,17494.3533,17444.906099171698,UCB,0.9950000058175834
21,69.0,4.91288597158206,3.5000065870645174,2.9465920654890105,17482.70346026399,0.994998784,12.103139736009325,17494.8066,17447.825178791663,UCB,0.9950000230862347
