,NStage,RR,TopPres,StoF,y_predicted,DIST_C4H8,error,y_real,af_value,Mode,model_purity
0,69.0,6.267998400975611,5.679588940999776,3.5823194237362435,30076.261715439898,0.996704938,634.2832154398966,29441.9785,1.0,MPI,0.9972674345812116
1,77.0,1.2348173852851723,4.857735050526601,2.438652664671063,13598.007181113018,0.87387938,1507.797981113019,12090.2092,1.0,MPI,0.9955424815880894
2,68.0,3.338853101887822,4.491288734580367,3.6652099248736834,21844.163627136208,0.996078975,1608.8040728637934,23452.9677,1.0,MPI,0.9980262183637184
3,68.0,5.306154278766177,3.84364722089128,3.230231027958501,20920.818601557676,0.996362766,693.4722984423242,21614.2909,1.0,MPI,0.995905407204588
4,70.0,4.983480458794752,3.9242767732867283,3.037552160948395,19855.372504148905,0.995535539,493.466404148905,19361.9061,1.0,MPI,0.9955711606023084
5,70.0,4.463342319008046,3.6070470610288092,3.0020279787421296,17957.40135163592,0.994705475,521.2770516359196,17436.1243,1.0,MPI,0.9951453019887113
6,70.0,4.983408361854958,3.5619378361337874,2.9500113662233067,17848.08231118905,0.995243931,82.41121118904994,17765.6711,1.0,MPI,0.9952470312348236
7,70.0,5.211675333904887,3.5033003325846144,2.8423230460719067,17187.110972284703,0.994730323,200.28652771529596,17387.3975,0.9999999575450635,MPI,0.9950043595698405
8,46.0,6.28531865254202,3.500003527335724,2.7261109532580226,15231.349033666673,0.972567403,2553.384566333327,17784.7336,0.8658764827653573,MPI,0.9950000041165548
9,70.0,5.232258073648661,3.5005462696525846,2.866511120783648,17460.215509982725,0.994973545,75.82769001727502,17536.0432,0.9997868706381511,MPI,0.9950028808790072
10,70.0,5.107686106929451,3.5005251249374045,2.8931860211521334,17507.883342206365,0.99502309,6.07874220636586,17501.8046,0.9998451144785379,MPI,0.9950004203483885
11,70.0,5.4167937829845325,3.5000023498419184,2.8318945784907767,17469.210412321296,0.994912508,141.01868767870474,17610.2291,0.657894473697149,MPI,0.9950000463569768
12,71.0,5.182960529986658,3.5000302507992918,2.896634106717894,17576.48638277094,0.995690629,71.6371172290601,17648.1235,17495.977625717962,UCB,0.9950000689186873
13,80.0,7.411432608385332,3.5000096642469045,1.0000031712787696,6398.83800949587,0.899741319,7147.3353905041295,13546.1734,4963.198823340932,UCB,0.995000066024083
14,57.0,1.0000000246722671,3.500000238232797,1.7147861042094161,4882.202162420501,0.767155499,1485.4792075794994,6367.68137,2606.425263533759,UCB,0.9950000001778317
15,73.0,5.100618734942917,3.500002455443336,2.6482705403188054,15751.856810571855,0.993908107,569.8838894281453,16321.7407,15598.418760160144,UCB,0.9950000017136719
16,62.0,9.01809569978393,3.5000292092100884,1.8039808747402515,15648.357131236236,0.967665371,2434.8312687637626,18083.1884,14818.56984257044,UCB,0.9950000105767697
17,73.0,4.504894727804357,3.5000046391093176,2.9408475275536525,16953.031797337986,0.995608672,35.27910266201434,16988.3109,16826.63952394847,UCB,0.995000023627971
18,73.0,2.0224720173155633,3.500010229909204,3.38322676037394,16039.70238543576,0.971428983,157.34241456424024,16197.0448,15498.664935564373,UCB,0.9950000539954186
19,65.0,3.5856310995877885,3.5000060530272283,2.913583955304518,15931.188615459663,0.98536886,568.9335154596629,15362.2551,15665.527372593091,UCB,0.9950000097661951
20,72.0,4.539873913976374,3.5000068174117356,2.8486426405277427,16356.692893904317,0.99421073,166.510906095682,16523.2038,16281.987624860698,UCB,0.9950000326462203
21,74.0,4.549600761919069,3.5000050076537925,2.844120226449038,16556.00683615554,0.994952688,0.31786384446240845,16556.3247,16448.163153384623,UCB,0.995000000518051
22,74.0,4.560041882333681,3.500008634881567,2.8457148616408596,16585.90004756482,0.994995735,6.655547564820154,16579.2445,16497.404413627843,UCB,0.9950000449253836
23,74.0,4.561210320484171,3.500005651035201,2.8456037718433147,16585.639730981766,0.994997535,5.3752309817646164,16580.2645,16508.77091295522,UCB,0.9950000303324119
24,74.0,4.562073045781623,3.5000018017633385,2.8454533240091138,16585.101685299967,0.994998163,4.4448852999667,16580.6568,16516.33791812883,UCB,0.9950000724475228
25,74.0,4.562718906262678,3.500004769784315,2.8453183709249403,16584.611710539742,0.994998402,3.7648105397420295,16580.8469,16521.93051046964,UCB,0.9950000236090067
26,74.0,4.563387942765628,3.500010641308738,2.8451666191162395,16584.25788274061,0.994998523,3.2712827406103315,16580.9866,16526.371584626362,UCB,0.9950000168863938
27,74.0,4.5637900371958535,3.5000080796954554,2.8450845657153536,16583.98721170541,0.994998694,2.880111705409945,16581.1071,16530.010168716275,UCB,0.9950000519039183
28,74.0,4.565056751584665,3.5000016420404947,2.8447531252307097,16583.696956501568,0.994998486,2.5896565015682427,16581.1073,16533.00216507771,UCB,0.9950000118216641
29,74.0,4.564123555234394,3.5000044889666464,2.8450314754755452,16583.579284491087,0.99499899,2.2962844910871354,16581.283,16535.666397661487,UCB,0.9950000566843363
30,74.0,4.564700159385505,3.500014509154503,2.844887294893791,16583.452982609117,0.994998954,2.1093826091164374,16581.3436,16537.969916562368,UCB,0.9950000715472505
31,74.0,4.564857603032694,3.500010546111775,2.844855012793379,16583.305267343218,0.994999022,1.9209673432160344,16581.3843,16539.954820323554,UCB,0.9950000712923858
32,74.0,4.565102156482515,3.5000038401626226,2.8447922671687933,16583.133418601756,0.994998999,1.7531186017549771,16581.3803,16541.679506404875,UCB,0.9950000220889902
33,74.0,4.565484254644124,3.50003414301061,2.844709726994117,16583.21890482282,0.994999091,1.683504822820396,16581.5354,16543.468105334152,UCB,0.9950001444809708
34,74.0,4.565659039978265,3.5000177373454253,2.844663147028858,16583.0377690978,0.994999065,1.5370690977979393,16581.5007,16544.824274953302,UCB,0.9950000832478367
35,74.0,4.565205786428963,3.500015430682185,2.844793076857786,16582.957293728185,0.994999259,1.4063937281862309,16581.5509,16546.13837636422,UCB,0.9950000751873161
36,74.0,4.565654240402283,3.500007321788014,2.844671748106107,16582.832174648815,0.994999149,1.3131746488143108,16581.519,16547.29686132566,UCB,0.9950000365510222
37,74.0,4.5650048454915915,3.50001249470152,2.8448577888678606,16582.82002128481,0.994999419,1.2132212848082418,16581.6068,16548.457977269576,UCB,0.9950000681183803
38,74.0,4.56580197468906,3.5000099240457443,2.844639155414368,16582.71684196497,0.994999185,1.159241964971443,16581.5576,16549.449691893496,UCB,0.995000022141259
39,74.0,4.565342904970064,3.5000080361557933,2.844768798565477,16582.66912012131,0.99499936,1.0702201213098306,16581.5989,16550.40937949856,UCB,0.9950000210287356
40,74.0,4.5650451531858955,3.500008139246131,2.8448564517105686,16582.64837669082,0.994999509,1.001176690821012,16581.6472,16551.32827357398,UCB,0.9950000509536618
41,74.0,4.566019332719256,3.50003479308614,2.8446037745833026,16582.75304725997,0.99499935,1.0315472599686473,16581.7215,16552.319803059374,UCB,0.995000147043141
42,74.0,4.565320980105982,3.5000091422951334,2.844784274648146,16582.552513501098,0.994999462,0.9005135010993399,16581.652,16552.939064425438,UCB,0.9950000188752464
43,74.0,4.565908874815858,3.500008928028339,2.8446267461902743,16582.517498170066,0.994999327,0.8788981700672593,16581.6386,16553.683020322183,UCB,0.9950000230747776
44,74.0,4.564573830201738,3.5000051758941186,2.8449949514171755,16582.495436677476,0.994999746,0.7790366774752329,16581.7164,16554.382921319448,UCB,0.9950000339192394
45,74.0,4.566014832263128,3.50002234281834,2.8446141382749017,16582.581871226015,0.994999454,0.8364712260154192,16581.7454,16555.168303438437,UCB,0.9950001404973833
46,74.0,4.566052043190085,3.500012167615623,2.844610910217559,16582.556276465824,0.994999522,0.7960764658237167,16581.7602,16555.795332576698,UCB,0.9950001864068067
47,74.0,4.565069910232147,3.5000117102277275,2.8448767731516784,16582.510287516387,0.994999777,0.7149875163850083,16581.7953,16556.362252465708,UCB,0.9950001417256549
48,74.0,4.564594524442136,3.500026596561023,2.8450104352103813,16582.554090012123,0.994999941,0.6856900121238141,16581.8684,16556.99127545581,UCB,0.9950001636019485
49,74.0,4.565236249289727,3.5000151243582134,2.8448268240029964,16582.426092897935,0.994999681,0.6561928979353979,16581.7699,16557.426135294143,UCB,0.99500007449609
50,73.0,4.641333504164798,3.5000092998051713,2.8442481450678234,16606.781764778378,0.995019507,58.989935221623455,16665.7717,16579.336510995516,UCB,0.9950000512506034
